document_id,clean_text,sentiment
40,"Avatar: The Way of the Water is visually breathtaking and entertaining. The storyline is original and only leave a want for more. The length of the film was no concern and needed for proper character development. The characters in the film were a good selection and made the film more enjoyable and watchable. The movie may be classified as scifi, but it meets the expectation of almost every genre. Like the first Avatar, this movie wil be my go to movie until the next Avatars come out. Both Avatar movies are deserving of the best movie title. Thank you, James Cameron, you did not disappoint. I look forward to the next installments.",positive
41,"AVATAR is the Jurassic Park of this generation, with no doubt is it a family film, but it is also a hybrid of everything good in Cameron.Firstly, The highly-talked about visuals have given me, and the audience a true experience, if that is counted by the number of gasps, claps and heartbeats of every audience member, I seriously didn't get that in Transformers or 2012, people literally gasped when Jake explored the Bio-Luminescence nightlife of Pandora, now that is something you don't usually get in films! But this film isn't just about visuals, it's about the magic of film-making. And that is something rarely achieved in such absolute beauty, beauty that leaves you walking away from the theater, wanting to return the next day, and the day after that. I have never felt so good after watching a movie, a movie that holds such beautiful magic, since the original star-wars trilogy came out back in the 70's and 80's.The film ends leaving you wanting more, it starts by slowly enticing you, then gradually building up into one heck of an adventure, rolling at such a speed that you'd never think it would end, but films end eventually, and I just hope that we are given more in the future, so seriously, enjoy the power of seeing it for the first-time, watch it with a fresh-mind, an empty bowl and zero distractions because the world of Pandora awaits, the trip of a lifetime to an alien world beyond your imagination!",neutral
42,"At the risk of repeating what countless others have said, this movie is blatant plagiarism. If a film student submitted the Avatar screenplay to an instructor, he/she would have been given an F. Colleges expel students for less obvious ripoffs than this. If you've watched Pocahontas or Dances With Wolves, you know the drill. The only difference is the ending, which has the pretty blue humanoids escorting humans to their Earth-bound ships at gunpoint, which I freely admit is a rather neat sight since my ancestors were American Indian, Irish, and Scot. As a result, I am perhaps overly sensitive to the plight of a civilization driven from their homeland and/or oppressed by a conquering nation - er, planet.However, originality is not James Cameron's strong suit, so my disappointment is directed more at WETA. Yes, my beloved WETA, who impressed me throughout the years but completely stole my heart after the masterful rendering of all things Tolkien in the Lord of the Rings Trilogy. I had two reasons for seeing this film. One was a 13-year-old boy, the other was my anticipation over what wonders WETA would lay at my feet.Now, had the budget not been nearly half a billion dollars, I'd have understood the cartoonish creations, but as it stands there's no good reason for the results. Viewers are praising this film as revolutionary. I call ""horsesh!t"". This was nowhere near the caliber of WETA's LOTR work, their King Kong work, or their X-Men work. In fact, it wasn't even up to snuff with their Narnia production. The quantity of work was greater, not the quality.I've never reviewed a film in my life. I actually registered here for the sole purpose of expressing my resentment at having wasted $20 bucks and 3 hours on such nonsense. Booooooo.",negative
43,"The visuals and 3D are truly amazing. Some people spend Thousands for traveling to see beautiful landscapes and that's fine. But in the cinema we see the most beautiful world and the visuals are so good, one forgets being in a cinema. It feels like 3 hour trip to another planet. Some people say its boring, because the story is not unique. But that doesn't matter. A movie is a story and how the story is told is 100 times more important than the story itself. Every crime movie has same story: Someone dies -> detective identifies murderer. Yet we want to see HOW the detective does it.Actually I think, there are not so many different base stories and many movies are similar to each other. But Avatar has only one similar movie which is why people notice it.No one would complain about a crime movie: I know this story from this movie, and that movie, and that movie, and this one as well... Oh and this one and that one.",positive
44,If i may rate it 11 i will surely do. Can't wait for Avatar 2 at 2021,positive
45,"Never before have I felt the need to express my views about a movie online except when I saw Lord of the Rings for the first time.Let's get it straight- the ONLY thing ordinary about Avatar is its screenplay. It's not bad, just ordinary. Story is clichéd, but very relevant. Everything else about the movie is just out of the world, literally! This is not a movie like Pulp Fiction or Fight Club. It doesn't require intelligence to understand the plot. But seriously, who cares? The visuals are so stunning and wonderful that you are sucked into Pandora. You feel like you are living on Pandora and watching the actors over their shoulders. This is where 3D filming has been put to great use in this movie. I can only speak for myself but I related to the characters so well that I was almost emotionally attached to them an hour into the movie.The two main messages of the story are environmentalism and peace. Both of them are extremely relevant today. But then again, the purpose of this movie is not just to carry those messages across. It's to show a completely different world in stunning detail and to let the viewers relate that world to our own. To me, it talks also about fighting injustice, even if it is perpetuated by ""your own"" people. The biological theory of connections between all the living things on the planet was pretty cool and is truly, the worldwide web.The acting doesn't stand out as mind-blowing but blame it not on the actors, but the visuals. James Horner, as always, delivers with the music. It is so inextricably linked to the scenes that you probably won't be able to imagine enjoying the movie without it. Special effects, needless to say, are outstanding! CGI on this scale for hundreds of characters is no mean task. Dialogs, as I mentioned before, are not extra-ordinary but then again, you don't expect a marine to be Shakespeare in his linguistic articulation. They definitely fit in with the plot.This definitely is another milestone in movie-making and will definitely spawn a lot more special-effects filled movies. All in all, the movie rises above others of its class for the way in which this rather simple-minded story is told. I still can't stop playing through the scenes in my mind. Go watch it and let go of your worries and live in Pandora for 166 minutes and trust me, it's a wonderful life!",positive
46,"Science fiction is, at its core, more than just a hypothetical fantasy about our distant neighbours twinkling in the night. It is also a reflection on humanity. It holds the mirror up to our faces and forces us to question who we are; when our aspirations, morals, ideals and weaknesses are put to the test, are we really who we think? And what is our place in the great darkness that surrounds us, frightens and amazes us? To know your own culture; learn another man's customs. It is only by comparison that we can truly see ourselves. And it is also only us, as subjective individuals, that can know who we are beneath our human exteriors. Many of us focus too much on our weaknesses and turn to God/s and religion for love and acceptance despite our faults, with heaven as the ultimate point of approval. Acceptance by someone or something that truly sees us, not only the shortcomings, but also for what we hope to believe that we fundamentally are; good, decent, with the heart in the right place, trying to make the best of what we have been given. Some of us don't believe in God, or profoundly question his/her/its existence. Many fear death, the unknown, never to see, feel or experience anything again. To be forgotten. For ever.So the question becomes: does this introduction have a point and what does Avatar have to do with it? Mr James Cameron is a self-proclaimed sci-fi nerd and - not to mention - a human being (although I agree questionable, let us make that assumption for convenience sake) and just like many of us I am sure he shares many of the same existential thoughts and questions that find their way into our human brains and skeptic hearts. And like many of us he seems to share a craving for adventure, discovery, enlightenment and a curiosity of the world, the universe and the beings with whom we happen to share our short time here on Earth.With Avatar, Mr Cameron manages to address most of these existential questions: who are we? Not in the comfort of our living rooms, nestled in the sofa with a bag of crisps and a chocolate bar in front of the TV, but in the face of choice. The choice between convenience and what we believe in. When all the luxuries have been taken away, and all the shields and walls and layers have been peeled off, do we like what we see? Avatarians have an expression; ""I see you"", which comes with such a deep ring to it because it is what we all want the world and people around us to do; to recognize, appreciate and care about us and to see that no matter how we might act and react on occasions, deep down we are good. These glasses we desire others to wear when they look at us also have another umbrella term; love. Some say love is blind, but to me at least, real love is not blind, it is understanding. It looks beyond the flaws and recognizes us for all the good things that we are. It sees our actions from our point of view.The story of Pandora's box in Greek mythology depicts how numerous evils were let into our world in a moment of weakness on Pandora's behalf. In much the same way, humanity in James Cameron's Avatar goes to the planet of Pandora and is confronted with a choice; open the lid or let the box be. Naturally, the greed (for money, power, etc) wins, and so, the lid is opened. Naturally, it has consequences. However, just like in the original story of Pandora's box, something else was let into the world when the lid was pulled away, something to counterbalance the evils that had been unleashed; hope. The hope that the good will, eventually, win. In Cameron's Avatar, this hope is represented by a group of humans who are not set out to exploit the people and resources of Pandora, but to understand it. And with understanding comes the ability to see clearly, and with this comes, ultimately, love. Love is not blind, but ignorance is, and ignorance is the root of most evils taking place in the world today.We all choose how we want to see the world. Everything is neutral as far as the universe is concerned; there is no good or evil, no good or bad, no morals set in some sacred stone at the heart of the heart of the universe. Morals are what we, humans, have created because we have a conscience. We have the ability to empathise and sympathise, to see the world through other's eyes as if they were our own.On Pandora, everything is connected; the trees, the animals, the flora and fauna, the past and the present, the living and the dead. If we as humans could be as connected with each other and communicating as much, I believe understanding of each other's differences would ultimately result in the realisation that we are in fact more similar than different. I believe that one such medium of communication already exists today – the Internet. Another one is the media but the question is how well it is working.I think Cameron's intended message with this film is very simple and – I admit – very cliché, but also very true and it doesn't hurt to be reminded of every once in a while; to see what we value and to stand up for it.Plus, it's easier to see the world through another's eyes when it's presented with such smashing CGI...",positive
47,"Looking into Hindu mythology, when Gods descend to Earth they acquire avatars to make themselves known by human beings. Of the recent years' TV animation series let's look over ""Ōban Star-Racers"" from Jetix and ""The Last Airbender"" from Nickelodeon for avatar concept. In Ōban Star-Racers, the Earth had been threatening by antagonist galactic races and human beings were expecting a savior from space who is called the Avatar. On the other hand in the Last Airbender, avatar concept was completely confused with Prophecy. Aang the Avatar was born in the form of human being, which is wrong; because Avatar is a form of a God which has no destiny, no life, no death. Herein James Cameron's Avatar, the concept is truly appropriate to the origins of Hindu mythology: When humankind explores the planet Pandora, they aimed to search for underground resources; so they send an ex-serviceman to the natives in a DNA mapped hybrid body(which seems like one of them) to capture their secrets. Becoming the Avatar of natives by time, the ex-serviceman saves the planet from humankind, turning against his origin. Exploring a new planet, descending on the ground, trying to capture it by blending within natives, but failing to do so... This actually is the same storyline with a Sci-Fi legend: Franklin Schaffner's ""Planet of The Apes(1968)"". Still keeping its sense with having the most terrifying ending of all science fiction works ever created, Planet of The Apes has so many things in common with Avatar. The Apes and the Na'vis both seemed atrocious and uncivilized at first. Then we realized that they're in fact very cuddly creatures. Both Charlton Heston and Sam Worthington became beloved with a female native, and we're introduced to their untouched and God's gift virgin nature. Then as in Star Wars and Abyss, humankind declares war against the natives to capture their lands and resources. Another unique similarity between Planet of the Apes is that humankind is the evil-side again. So the same message we get with a deeper self-criticism is that humankind is the one who destroys the nature and is responsible of all wars. Wasn't this the Terminator's message as well, spoken out by Sarah Connor? ""It's in our nature to destroy ourselves"". All to the good, we didn't lose our World to apes or cyborgs this time.",positive
48,"I must admit I had my doubts about this movie when I saw it in previews a couple months ago. I really didn't know what to think of the movie then. I saw this movie twice, the first time in regular 2d and the second in 3d. I have to say I was simply astonished at the visuals in this movie. Some scenes do tend to ""pop"" out a little more than others, but I was simply transfixed and awestruck not only at the incredible look of the movie but of the storyline itself. This movie really makes one think about life and how we might not be the only ones in the universe. Science fiction usually brings about thoughts on this, but we do have the ""Kepler probe"" already out there looking for another habitable planet, that isn't science fiction but is a reality. This movie also brings up another incredible aspect humans have struggled with. Humor me and go along with me for a minute - If a hundred or so years from now the human race had actually found another habitable planet and there was a less-advanced civilization living on it. Could our race be civil and humanitarian on the ways we try to establish contact? Would establishing contact really be the best thing to do? This movie might also seem quite similar to the early colonizers coming overseas from Europe to North America. Where the humans symbolize the prospecting company and the natives symbolize the Navi. This movie really does have a lot more going for it than just stunning visuals. I myself think this movie is the best sci-fi yet. I might even be bold enough to say that this could be the new ""Star Wars"" of our generation.",positive
49,Avatar tells a familiar story but its a story that works so well inside of this movie. The visuals and 3d are still one of the best to date and i totally get why it made so much money.,neutral
50,"I did my best to keep the expectations low, but it didn't quite work out. I mean, it's a movie directed by James Cameron, featuring sassy badass Space Marines, evil corporations, power armor, and Sigourney Weaver. That's the closest I'll ever get to a direct Aliens sequel, definitely one of my top 5 movies of all time and inspiration of countless wet military sci-fi dreams.On the other hand, although trying to stay spoiler-free, I kinda did expect something that would turn me off on a certain levels, hearing things about ""dances with wolves"" in space and a straight green message, delivered in black and white, without the necessary shades of grey in between. Don't get me wrong, I'm all for saving the planet and respecting the natives, but I like my messages delivered in a subtle way that makes me care, instead of the sledgehammer-in-your-face method. See ""the day the earth stood still"" remake. Bah, humbug.Third point: My first movie in 3d. Wasn't sure how it would work out for me with my glasses, and if it would enhance or distract from the experience. Really, I had no clue.So. here's a spoiler-free, very personal summary of what I think: Go. See. That. Movie.In a nutshell: It's flawed, but for me, a flawless experience. It's extremely CGI-heavy (something I couldn't be more sceptic about), but it's CGI you buy into. The designs, the human characters, the animated characters, there's just... chemistry. The illusion is there and makes you overlook the obvious. The plot is predictable, but it didn't give me time to predict, because it gripped me and didn't let me go. See, a movie can have the most blatant story, the question is how it is delivered by the people involved, from the actors to the director. That's the theory, and I was always sceptic of such gibberish. But boy, it was delivered, straight to my inner child, on a silver plate full of awesome. It immersed me. It worked. I was in awe. I was in tears. I was cheering. The whole premise, the parallels to our history, the message, the love story, it's all naive. And I'm so glad that it just shut the **** up that cynic in me in the most elegant way for three hours and made me naive and open for the beauty and wit and wonder in it. I didn't think I was still capable of that, but I watched that movie with the wide, blue eyes of a fourteen year old, enjoying a thrilling, heartbreaking mix of ""ALIENS"" and ""E.T."".Also, sh** blows up really good.See, the Star Wars prequels were something that should have been just that. Instead, I was pulled out of it and shaking my head all over the place. I was pulled out by wooden, badly-directed actors acting confused in front of too much blue screen. I was pulled out by half-assed cartoony CGI characters. By video game sequences of unbelievable combat and plot holes as big as a small moon.And here's the movie where it's all so flawless, human and elegant- characters, effects, delivery- that I gladly overlook its faults and enjoy it for what makes it awesome. Here's the spiritual successor of the movies I grew up with and loved, that just left me dreaming. Suddenly I remember how it was to watch 1977's Star Wars for the very first time. Grinning, crying, cheering and clapping.This is it. But don't listen to me, I'm being a biased fanboy here.See? It managed to make me a biased fanboy. Nothing has done that in a decade. And it feels so good!",positive
51,"I remember watching Avatar when I was 9 years old and loving it back in 2009. 11 years later I thought I'd revisit it as some people w had been talking about it ironically how it is amazing, etc. And this movie kinda blew me away. We watched the extended cut that tags on 16 minutes of intro before the real film begins and that added a sense of new-ness to the movie. The animation and visuals at times blew me away and made me realize why this movie was such a cultural landmark for cinema. At other times id did look a little bit like a ps3 game where the graphics take a minute to load and everything is smooth without texture. I also forgot about how hard hitting the message of the movie is and how revolutionary AVATAR really is! James Cameron knows how to appeal to a large audience hook people in and show them a message that they cant argue with. Avatar shows us the exploitative nature of Capitalism and the husks of people behind it and how its good to go against the grain of societies order. The main character although some complain that he's not interesting or a good actor works even better for this message as he is clueless and he's 100% on the side of the military and the state and gets convinced ad won over to then lead the revolutionary battle for freedom. He is an unmemorable, plain character than makes a decision to do what's right and that relates to the masses. You don't have to be the most charismatic perfect person to make change. Where Starship Troopers (although satirical) is a movie to promote fascism (again satirical, I love this movie) and authoritarianism, Avatar is our movie to promote the right path we have to take, a path away from capitalism and it cannot be long lasting. (Also its creepy how James Cameron kinda precited Venezuela and still impressive how he Invented all that 3D Technology)",positive
52,This movie has been described as breathtaking and beautiful and that is certainly true to an extent but I would also add that it runs way too long and gets boring.,neutral
53,"Director James Cameron's return to the world of science fiction cinema is a glorious one indeed. Twelve years after delivering us the highest grossing film of all time, Cameron brings us the sci-fi epic Avatar, a film that is not only visually breathtaking, but also character driven, emotional, exciting, effective, and masterfully directed.The marketing and hype for this movie was mostly based around the groundbreaking visual effects, so I'll start there. I was lucky enough to get to see this film in a digital 3D theater. My only complaint is with myself, in that I wish I had seen a couple of 3D movies before this one. This was my first experience with a 3D film, so I really didn't have anything to compare it against, but all I knew from the very first shot of the movie was that this was going to be unlike anything I had ever seen before. At first it took me a while to adjust to the dimensions of the film, but after my eyes got used to what i was seeing, I realized that what I was looking at was not a 3D gimmick but a world with an incredible amount of depth. James Cameron rarely gets right in your face with the big things in this movie. He is more subtle than that. The things that appear to be directly in front of you (and they really do) are the little things that capture the ambiance of the scene and make you feel like you're there with the characters. The rest of the 3D effect serve to add dimensions and reality to the scenes.The visual achievement in this film is not in the action scenes (which are some of the most exciting I've ever seen) but in the lengths that were gone to to bring this world to life. James Cameron has created a planet, a species, and a culture that work in perfect harmony with each other, and likewise the visuals are in perfect harmony. I'll admit I was a little apprehensive that this movie was more computer animated than live action. To me that usually suggests that a film crew is getting lazy, and that it's going to look like a video game. That is not at all the case here. The truth is that without computer animation there is no other way this film would have looked this impeccable. The planet of Pandora is extremely beautiful and detailed, and the Na'vi species fit with it perfectly. In all honesty, you can in fact tell that the aliens are computer animated. They still haven't quite attained the ability to make CG characters that look absolutely 100% unquestionably real, and in a live action world they might still have suffered the out-of-place look that many CG characters in movie get. However, in the computer animated world of Pandora, they blend in seamlessly and beautifully. This is of course not to downplay the design of the na'vi. They look as real as you could possibly hope for. The nearness they have come to looking real, the motion capture used in this movie, the range of facial expressions and emotions that they show, are all unprecedented.All of that being said, the next big question about this movie is this: Are visual effects all it has to offer? My answer: Not at all. The depth of Avatar goes far beyond the visuals themselves.As with all of Cameron's movies, Avatar is character driven. The central characters of the film are all dynamic, well written, and very well acted. You go on an adventure with them and throughout the movie you fall in love them (or grow to despise them depending on which characters).The general plot-line of the movie is a bit generic but that's okay. No, the premise isn't anything completely brand new, but it's still an excellent plot, and one that is familiar to our society and very important for us to remember. Along with that there are still several aspects of the plot that are quite original. James Cameron took a familiar story, one that many storytellers before him have told version of, and made it his own. Furthermore, this is one of those movies where you predict things because you want to see them happen, and when your predictions turn out to come true it's gratifying. That's not to say that everything is predictable, because that would get old. Don't worry, Cameron has thrown in a fair amount of little surprises too.This film is also as much emotionally effective as it is visually effective. James Cameron is a master at getting a certain emotion or feeling out of his viewers, and every scene in the movie works toward one or more of these effects. It's very light-hearted at times, with a good bit of comedic relief, and then quite intense in other scenes. Some scenes make you fear for the main characters, or perhaps even for yourself. Much of the film is brimming with anticipation and suspense, and several scenes had me simply grinning with excitement.Overall this is one of the greatest cinematic experiences I've ever had. Avatar is groundbreaking, dynamic, powerful, and a ton of fun. I must say it was worth the wait, but I certainly hope Cameron is here to stay this time.10/10",positive
54,"James Cameron once more shows that he knows what he is doing. I finally get to watch it yesterday in 3D after waiting so long, and it was worth all the reviews and even better. I am still in shock from what I experienced. The visual effects and the 3D experience in the movie- you have to watch it with your own eyes to feel the magic James Cameron has captured with this masterpiece. Acting is excellent, you can't ask for anything more than the actors gave from science fiction. Whoever said no love or passion in the movie is mistaking big time, it has something for everyone starting from astonishing score (bravo! James Horner) and love story, big epic, awesome war episode and a unrepeatable beauty of Pandora- WOW. If you didn't like the movie at any point, you seriously need to see your doctor. After coming out of the cinema, all I could think about was to go back in, so that's what I am doing today and probably tomorrow as well. Thank you, James Cameron for the best experience of my life!",positive
55,"Avatar, undoubtedly an amazing experience, will redefine the boundaries of modern cinema. The magnum opus of the master craftsman James Cameroon delivers magical screen realization to innovative imagination. It took over a decade for the fast-paced technology to catch up to brilliant imaginations of James Cameroon.It is the movie of the decade in terms of cinematic imagination (even crossing the earlier standards set by LOTR trilogy) and movie of the generation in terms of CG. The advantage of Avatar is that the movie not only revolves around the hype of $300 million and IMAX 3D, but has an involving political statement. It brings into light, three major issues. Firstly, the movie itself stands as metaphor of the US invasion of Iraq. Secondly it unveils imperialism's cold blooded face in disrespecting and demolishing cultures. Lastly it has a profound green political statement that insists on bio-diversification. Even though it doesn't indulge itself into individualist philosophies, Avatar is not philosophically void. It is illuminated (like the illuminating insects and plants of Pandora) by the philosophy of universal identity believed by the Na'vi tribe. The concept of Eywa really matches with the base theory of coexistence of many human civilizations. Some may say story of Avatar is old wine (pointing Dances with wolves, The Last Samurai and all). But, the invasion on aboriginal cultures and human civilizations by imperialist powers is repetitive - it happened during civil war, it happens in Iraq. So the story isn't loosing its relevance but deserves the retelling.But beyond all this, the breathtaking visuals will steal the show and will surely leave you with a once in a lifetime cinematic experience. The thrilling action sequences in sky, mammoth animals , legendary Hallelujah Mountains of Pandora, and scenes in which Jake tames the flying dragon bird -Mountain Banshee and biggest creature in sky -Toruk, all leaves a mark in history of cinematic visuals. It is the CG that even shadows the 3D. but don't miss the show in 3D as not seeing this movie in 3D will be the greatest loss. Hats off to the one man - James Cameroon, who imagined the unimaginable and realized the impossible. Avatar makes the sci-fi cinema so far, paraplegic as the protagonist Jake Sully in human form and a new era of visual entertainment starting from this movie, as mind blowing as the blue Avatar itself.",positive
56,"The sheer amount of pressure for one single film from one single man was so immense, that it is a wonder that Cameron even dared to tip-toe back into the film industry for one brief glance, let alone make an actual movie. And yet, it is an extremely rare and beautiful thing that something is created which can not only meet it's former film in pretty much all aspects as well as the pressure from media all over the world, but dare even to out shine it. Yet i have to agree that Avatar, in my opinion, does just that.I cannot deny that Titanic was not a piece of marvel and excellence, and the scale of the special effects as well as the intensity of that infamous jack and rose love story were so remarkable that is was enough to leave most that watched it weep like a small child. However, Avatar gives us a look at a different story of love, and like Titanic, it is forbidden and frowned upon, yet is still heart warming and similarly tragic in some places. The only criticism I have is that the love between Jake and Neytiri lacks that throat choking moment which still holds Titanic in such high regard even today. On the other hand it also must be commented that despite these films being among the most expensive ever made, the story lines do not rely on they're huge explosions and crashing objects to make the movie, because both of the stories are deeper and more meaningful than that and they manage not to drown in the special effects like so many films nowadays do.Speaking of the spectacular effects, those in Avatar are really just that. The beauty of Pandora makes you get goose pimples as the sheer detail of exotic plants and dangerous animals feel so real that you have to remind yourself continually that they do not actually exist. And if you are not as soft as to fall in love with the beauty of the planet, than I'm sure the final battle will make you heart race and you will truly be blown away by the incredible effects that all of Cameron's team have managed to achieve, this really is film making at it's best. Don't be put off by the length or the fact that it's sci-fi because i do not doubt that coming out of that film, no matter what your favourite genre, will leave you so speechless and amazed that the only word you will be able to breathe is 'wow.'",positive
57,"This is the most astonishing movie I have ever seen. First word I heard leaving the theater was 'amazing!' No doubt about it.I won't discuss the plot,but the plot is good, nothing can match the special effects of the 3-D.Here's the least you need to know:It is 'new age' all the way. It's all about 'we are all one with nature'.It's a long movie, about 3 hours to be precise. Be sure you have your snack in hand and your 'business' taken care of, just in case you don't have a 15 min break like I did. Sexuality was not much of an issue, the only thing remotely sexual was the 'hair-bonding' ritual.The ending was predictable from the start, but again an extremely enjoyable movie.Finally, the special effects were amazing. This you got to see in 3-D!!! You'll feel as if you are IN the movie after a few minutes. You'll be reaching for the floating jellyfish(tree seeds), dodging the flying dragon-birds...etc. I was so impressed that I felt as if it was all happening in front of my own eyes. I do not recommend watching this movie in 2-D. I believe that this movie was made to be viewed in 3-D. The movie is not only a movie but it will open your mind and make you reflect on your life. As I wrote earlier it's kinda ""new age vs modern world view"". I truly hope that you enjoy the movie. I know that I did. 3-D is a must !!! just a few extra bucks, believe me you won't regret it. the only thing that makes me sad :( is that I have to wait until late 2010 to buy the 3-D bluray. enjoy :)",neutral
58,"AVATAR is one of the few films in recent years that I've really looked forward to. Given Cameron's solid track-record when it comes to sci-fi/action-films, there was no doubt in my mind that this film would be good, even though it's been 12 years since his last feature film. The only question in my mind was whether the film would be great or merely good. Fortunately, it turned out to be the former.I'll start by mentioning a few things that I really liked about the film, and areas in which I feel it succeeded very well: The characters: Cameron invests enough time in his characters so that the viewer actually care about them when the going gets tough later on in the film. Most action-directors put too much emphasis on the action and fail to involve the audience on an emotional level: You couldn't care less what happens to the main characters and the feeling of genuine suspense is severely undermined. AVATAR is an action/adventure film with a heart.The CG (primarily by WETA Digital) looks great, especially when it comes to organic objects, such as plants and the blue humanoid-looking natives. The great attention to detail makes a significant difference in terms of photorealism. The natives move and express themselves in a very convincing, natural manner. Mocap (*) has been used for many years, but this is one of the few films in which the movements (both body and face) look completely realistic. AVATAR sets a new milestone when it comes to photorealistic characters. I was also very impressed by the seamless integration of CG and live shots, and the CG explosions: The explosions were actually created using fluid simulations which made them look very realistic (the normal approach is to use live shots of real explosions, composited on top of CG elements).The directing: With AVATAR, Cameron demonstrates why I consider him one of the best action directors in modern cinema. The long finale, in particular, is one of the best action-sequences I've ever seen. It's dynamic, intense and exhilarating to watch. The rhythm and pacing is spot on. Cameron also slowly builds the film to its finale, and this makes the action-sequences even more rewarding (because the buildup serves as 'foreplay' and creates anticipation).Other things that I liked: The beautiful cinematography and the interesting, underlying themes related to imperialism and the environment. It makes you think a bit after you leave the theatre, and it adds a bit of extra depth and meaning to the film. This is more than you can expect from a typical film in this genre nowadays.It's hard to pick things that I didn't like about the film, because there was nothing that really bothered me. If I had to mention one thing that I was hoping would be better, then it would be James Horner's score. It didn't seem as prominent or memorable as it should've been. Its impact on the overall movie experience was much smaller compared to his score for films such as TITANIC, ALIENS or BRAVEHEART. I'm not saying the score is bad, far from it, it just lacked that little extra.Some people have complained about the simple plot and predictable ending. I personally didn't have any issues with the plot, and I must admit that I don't really understand those who get too obsessed with spotting plot holes and logical problems. First of all, it's not really the story itself that matters, its the way it's told, because film is primarily an audiovisual medium. Cameron's films are simply structured in general and they're easy to follow. But he makes things interesting and engaging to watch because of his storytelling skills. Although the film lasts for over 2,5 hours, I never felt there was a dull moment. Cameron sucked me into the film from the get go and he didn't loosen his grip until the end-credits started to roll.I've seen both the 3D and 2D version. Some people clearly prefer the 3D version, but I didn't feel that I lost anything substantial when I saw the 2D version. Cameron doesn't make the mistake of trying to use 3D as a cheap gimmick, and the use of 3D effects isn't exaggerated. The 3D effect is impressive, though, and the technology has obviously improved significantly in recent years. After a few minutes into the film I almost forgot that I was wearing the glasses: They were comfortable and they didn't cause dizziness.AVATAR is a visual tour de force that really needs be seen on the big screen in order to be appreciated fully. Don't wait until the DVD or Blu-Ray is released: The experience simply won't be the same, unless you have a big, high-end home-theatre.(*) Motion capture: Technology used to capture the actors's performances, so that they can be reproduced by their CG characters.",positive
59,"Like Peter Jackson and George Lucas, James Cameron raises the level of technical achievement in film making in every movie he makes, and Avatar is no exception. We have set before us a digital masterpiece of beauty and spectacle, where the technology has once again surprised us, but the beauty and imagination of the artists behind it inspires us even more. Now, as before, much of the movie was green screened, but unlike before, it doesn't matter. When live actors are on the screen, they actually look less real than their surroundings. The idealized Na'vi are sacred, vivid, and real. Live actors are dimly lit, phony profanities in James Cameron's digital reality. The central problem with the story is its appalling lack of originality. The plot, and moment after moment in this film, is ripped from previous movies with reckless abandon. No person who has seen such movies as Dances with Wolves, the Last Samurai, Pocahontas (Dis.) or any number of other movies should be surprised at any part of the story here. The plot is simply an excuse to string together a beautiful canvas of rich, detailed digital fantasy art. Soldiers are portrayed here either as self-hating pansies or narrow-minded bad asses. The Na'vi are portrayed as a race in perfect balance with the world around them, rather than as products of natural selection with their own defects. Count me as someone who wanted to see a story which had real characters with real people in them, or a twist in the story I didn't see coming. I have a few moral qualms with the story as well, which plays out not as a message about tolerance of differences or peaceful coexistence, but as a racist ballad where the sacred Na'vi have been perverted by contact with the infernal humans and it is the humans that need to be eradicated or exiled.This is a movie you will want to see if eye-popping visuals and vivid detail at all appeal to you. But if you're looking for a compelling story that you haven't seen before, look elsewhere. As sci-fi, District 9 is a much better movie, and I would say even Star Trek has the edge on a compelling story line.",neutral
60,"Snapshot: Avatar is a ""visually stunning"" movie that captures your imagination with a pretty ordinary story that SOME might find triteWhy I LOVED IT?When people were first informed about Avatar NO ONE spoke about ""A Great Story"" or ""Wonderful and complex Characters"". Avatar was supposed to be a treat for the eye, a very imaginative and immersive world. Avatar exactly does that. I LOVED it because it delivers what it promised to!Why is it ""Ground Breaking"" and ""Stunning""?Avatar totally blew me away in the visuals department. Now I know some people are saying that there are many movies that look more ""REAL"" and have better quality of animation than Avatar e.g. Final Fantasy, but I guess these people are missing the point. Avatar is actually about NOT looking real, it is about showing something that we have never seen or have never imagined (exotic creatures and floating mountains!!!). It is also about meticulous attention to details that we may actually never notice especially when we see the movie for the first time. So ultimately using fine details and imagination of some very creative artists a stunning and immersive world called ""Pandora"" has been created. What's NOT good? Avatar does not try to do anything new in the story line department. It's got a couple cheesy dialogues and just a touch predictable. It is the same old story told in a new way. But then how many movies that are made are really original today? From my perspective I even LIKED the story but some people with different taste, perspective and expectations might complaint!Who should watch it? I suggest EVERYONE, at least for ""Pandora""Who should avoid it? NO ONE! HOWEVER if you are VERY RELUCTANT about ""ORIGINAL STORY"", ""GREAT CHARACTERS"" blah blah blah and just cannot get the message right then don't watch it, but then you will be missing something very special ""Trust me"" on this one!SummaryGo for the movie with the right expectations i.e. ""An imaginative and visually spectacular movie"" and put other things like a ""GREAT STORY"" aside. Avatar is everything what it promised to be and that is why I give it 10/10",positive
